id,period,minute,seconds,type,match.id,match.homeTeamDisplayName,match.awayTeamDisplayName,swimoff.homeTeamSwimmer.playerId_x,swimoff.awayTeamSwimmer.playerId_x,swimoff.winnerSwimmer.playerId_x,exclusion.excludedPlayer.playerId_x,exclusion.fouledPlayer.playerId_x,exclusion.locationX,exclusion.locationY,shot.type,shot.takenBy.playerId_x,shot.blockedBy.playerId_x,shot.isGoal,shot.isFastBreak,shot.isDirectFromFoul,shot.locationX,shot.locationY,shot.targetX,shot.targetY,shot.assistedBy.playerId_x,turnover.type,turnover.lostPossesionPlayer.playerId,shot.savedBy.playerId_x,turnover.wonPossesionPlayer.playerId_x,timeout.team.name,shot.savedBy.playerId_y,shot_saved_playerId,shot_saved_by,turnover.wonPossesionPlayer.playerId_y,turnover_playerId,turnover_won_by,shot.assistedBy.playerId_y,shot_assisted_playerId,shot_assisted_by,shot.blockedBy.playerId_y,shot_blocked_playerId,shot_blocked_by,shot.takenBy.playerId_y,shot_playerId,shot_taken_by,exclusion.excludedPlayer.playerId_y,exclusion_playerId,exclusion_committed_by,swimoff.homeTeamSwimmer.playerId_y,swimoff_hometeam_playerId,swimoff_hometeam,swimoff.awayTeamSwimmer.playerId_y,swimoff_awayteam_playerId,swimoff_awayteam,swimoff.winnerSwimmer.playerId_y,swim_off_won_by_playerId,swim_off_won_by,turnover.lostPossesionPlayer.playerId_x,turned_over_by_playerId_x,turned_over_by_x,turnover.lostPossesionPlayer.playerId_y,turned_over_by_playerId_y,turned_over_by_y,exclusion.fouledPlayer.playerId_y,exclusion_drawn_by_playerId,exclusion_drawn_by
373547,First_Period,8,0,Swim_Off,10037,Australia,Spain,8093.0,410.0,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8093.0,8093.0,Matthew Byrnes,410.0,410.0,Martin Famera,410.0,410.0,Martin Famera,,,,,,,,,
373548,First_Period,7,41,Exclusion,10037,Australia,Spain,,,,8092.0,1292.0,0.487,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8092.0,8092.0,Charlie Negus,,,,,,,,,,,,,,,,1292.0,1292.0,Miguel de Toro
373549,First_Period,7,23,Shot,10037,Australia,Spain,,,,,,,,Power_Play,1289.0,,True,False,False,0.639,0.189,0.682,0.399,1297.0,,,,,,,,,,,,1297.0,1297.0,Felipe Perrone,,,,1289.0,1289.0,Alberto Munarriz,,,,,,,,,,,,,,,,,,,,,
373550,First_Period,7,8,Shot,10037,Australia,Spain,,,,,,,,Regular_Attack,4744.0,,False,False,False,0.502,0.165,0.518,0.603,,,,581.0,,,581.0,581.0,Unai Aguirre,,,,,,,,,,4744.0,4744.0,Lachlan Edwards,,,,,,,,,,,,,,,,,,,,,
373551,First_Period,7,0,Exclusion,10037,Australia,Spain,,,,410.0,4744.0,0.593,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.0,410.0,Martin Famera,,,,,,,,,,,,,,,,4744.0,4744.0,Lachlan Edwards
373552,First_Period,6,46,Shot,10037,Australia,Spain,,,,,,,,Power_Play,19481.0,,True,False,False,0.227,0.147,0.273,0.927,8093.0,,,,,,,,,,,,8093.0,8093.0,Matthew Byrnes,,,,19481.0,19481.0,Milos Maksimovic,,,,,,,,,,,,,,,,,,,,,
373553,First_Period,6,17,Shot,10037,Australia,Spain,,,,,,,,Regular_Attack,1293.0,8093.0,False,False,False,0.675,0.236,,,,,,,,,,,,,,,,,,8093.0,8093.0,Matthew Byrnes,1293.0,1293.0,Marc Larumbe,,,,,,,,,,,,,,,,,,,,,
373554,First_Period,5,46,Shot,10037,Australia,Spain,,,,,,,,Regular_Attack,8093.0,,False,False,False,0.548,0.363,0.654,0.939,,,,581.0,,,581.0,581.0,Unai Aguirre,,,,,,,,,,8093.0,8093.0,Matthew Byrnes,,,,,,,,,,,,,,,,,,,,,
373555,First_Period,5,31,Exclusion,10037,Australia,Spain,,,,8107.0,1292.0,0.546,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8107.0,8107.0,Chaz Poot,,,,,,,,,,,,,,,,1292.0,1292.0,Miguel de Toro
373556,First_Period,5,12,Turnover,10037,Australia,Spain,,,,,,,,,,,,,,,,,,,Lost_Ball,1289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.0,1289.0,Alberto Munarriz,1289.0,1289.0,Alberto Munarriz,,,
373557,First_Period,4,42,Shot,10037,Australia,Spain,,,,,,,,Regular_Attack,15258.0,,False,False,False,0.473,0.282,0.324,0.637,,,,581.0,,,581.0,581.0,Unai Aguirre,,,,,,,,,,15258.0,15258.0,Marcus Berehulak,,,,,,,,,,,,,,,,,,,,,
373558,First_Period,4,29,Shot,10037,Australia,Spain,,,,,,,,Regular_Attack,1297.0,,True,True,False,0.351,0.091,0.249,0.466,1290.0,,,,,,,,,,,,1290.0,1290.0,Alvaro Granados,,,,1297.0,1297.0,Felipe Perrone,,,,,,,,,,,,,,,,,,,,,
373559,First_Period,4,12,Shot,10037,Australia,Spain,,,,,,,,Regular_Attack,19482.0,,False,False,True,0.675,0.28,0.693,0.109,,,,,,,,,,,,,,,,,,,19482.0,19482.0,Jacob Mercep,,,,,,,,,,,,,,,,,,,,,
